Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna,17195,4439,11016,3671,1777,3249,4193,3646,3201,6421,3135,5700,3153,10167,11831,6704,4430
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira,8510,2319,6181,1647,917,1744,2213,1786,1610,3882,1528,2766,1580,5870,7924,4550,1921
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoanaerobaculum,4918,1163,2136,824,419,766,1141,1062,1060,1807,919,1625,935,2850,3268,2098,1156
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Herbinix,3588,1137,2632,953,439,948,1204,1046,908,1747,915,1613,722,2781,3326,1981,1092
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum,3400,770,2426,740,526,621,1194,919,925,1481,602,1020,555,2453,1758,901,1195
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Pseudobutyrivibrio,3154,968,2238,761,584,687,949,794,739,1315,577,1212,593,2357,2424,1568,909
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Cellulosilyticum,2427,862,1825,1048,404,730,801,944,496,944,471,846,393,1253,931,822,751
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acutalibacter,115391,34663,65830,12009,17452,16211,30931,19087,21625,45387,21067,45002,19631,69011,86870,46478,27251
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor,40280,15926,23336,7872,8199,10922,21245,12360,16906,36356,8950,23249,9135,49538,52221,29068,15907
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium,36322,11185,17732,7215,5406,6562,11379,7596,9060,18662,8449,17537,7671,27072,28502,19408,10456
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter,32399,13403,20105,8251,5921,6843,13688,10572,9569,27387,6565,17814,6572,44001,38846,26853,10722
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus,7549,3135,5448,5578,10674,6252,4347,8437,3539,7645,2932,7278,2750,10500,12016,11239,4769
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium,5491,2132,3189,1909,1367,1416,2255,2795,1782,6395,1733,3645,1396,7564,6592,9582,2231
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Caproiciproducens,4963,1992,3038,1310,1200,1669,2486,1672,1858,3650,1772,3904,1625,5362,5254,3640,2214
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter,4540,1734,2952,946,924,1045,1817,1468,1214,3576,781,2269,801,4912,5774,3314,1443
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acetivibrio,2469,1312,2235,1384,896,1327,1298,1822,945,1720,1037,1440,704,2170,1980,1554,1258
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ethanoligenens,2138,830,1203,632,546,531,886,816,790,1382,734,1461,679,1836,2161,1306,815
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminiclostridium,1294,873,1419,1555,880,1062,753,1635,644,1230,564,1021,432,1372,1373,1296,841
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Thermoclostridium,844,458,607,496,609,532,504,676,472,767,404,757,294,1073,942,892,566
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium,49450,27091,48051,38450,16589,33603,25321,53767,17794,39906,22377,27611,16106,35039,38514,33550,24841
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella,12622,3845,6762,1855,1096,2327,3690,2356,2667,5398,2830,5524,2492,7383,8774,4341,3454
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Alkaliphilus,1112,663,685,705,280,626,475,956,440,621,391,478,351,603,585,423,661
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Candidatus Arthromitus,987,613,16755,647,327,640,2362,811,1078,1741,615,1288,663,1105,528,496,2757
