Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter sp. 2CBH44	0.065414979	0.074644344	0.066400948	0.232370431	0.127343196	0.075286363	0.096380532	0.153618009	0.105873362	0.085352099	0.085043296	0.088213501	0.11994769	0.149678295	0.078822541	0.180011351	0.113500111
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas asaccharolytica	0.07569695	0.071217995	0.047484775	0.146891183	0.108415332	0.044239507	0.06813968	0.099119428	0.133530077	0.057859433	0.077864157	0.064847281	0.195111143	0.141527497	0.088274044	0.129672936	0.132812513
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gingivalis	0.057081172	0.051614272	0.030166544	0.107374547	0.050442852	0.036206246	0.060502516	0.091572155	0.09914201	0.046827529	0.095934935	0.068364259	0.163068602	0.085239354	0.059979543	0.102796343	0.108581914
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas cangingivalis	0.027815436	0.030649396	0.025070407	0.079558759	0.03985608	0.028964997	0.035045303	0.06805374	0.05183972	0.02747815	0.04801664	0.041505151	0.080027894	0.057637788	0.032855227	0.062142921	0.05929395
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas crevioricanis	0.019286812	0.016177374	0.010796902	0.049500892	0.020305465	0.017876834	0.018819304	0.039425415	0.030798013	0.020626757	0.031347269	0.02724453	0.048424722	0.033158929	0.03249517	0.030585739	0.032243868
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas|s__Petrimonas mucosa	0.045543718	0.042461696	0.02491925	0.081170253	0.043819043	0.030367989	0.043634138	0.071111134	0.070720747	0.032645726	0.069357369	0.057259282	0.125188732	0.065285777	0.044857137	0.068059893	0.083312558
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum|s__Proteiniphilum saccharofermentans	0.041041297	0.039379546	0.02951873	0.104151559	0.047461194	0.03199727	0.041897338	0.075194786	0.062776089	0.039047134	0.06286664	0.054994927	0.10303199	0.070472648	0.040686473	0.080482589	0.078754746
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas sp. HDW5A	0.006212475	0.006930925	0.007795363	0.020458968	0.011870016	0.008485839	0.008327126	0.009450127	0.004371224	0.007620723	0.006097351	0.006094488	0.009038444	0.013311206	0.00735117	0.017927541	0.007440893
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas sp. HDW5B	0.004762176	0.004052166	0.002548069	0.010895101	0.005359435	0.003824285	0.005210401	0.007889359	0.009423893	0.004746622	0.008531374	0.006793066	0.012459245	0.008415435	0.008131294	0.008419174	0.006592928
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter|s__Paludibacter propionicigenes	0.018572486	0.013908787	0.012632375	0.053879952	0.021116929	0.015093479	0.018843096	0.034272744	0.025496034	0.020321928	0.023799338	0.021535464	0.034333536	0.034640893	0.025864115	0.037003151	0.027134879
